accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2021052102393,2021,052102393,1,90,electric scooter
2021052102445,2021,052102445,1,90,electric scooter
2021052102487,2021,052102487,1,90,electric scooter
2021052102534,2021,052102534,1,90,electric scooter
2021052102637,2021,052102637,1,90,electric scooter
2021052102663,2021,052102663,2,90,electric scooter
2021052102705,2021,052102705,1,90,electric scooter
2021052102707,2021,052102707,2,90,electric scooter
2021052102824,2021,052102824,1,90,electric scooter
2021052102898,2021,052102898,1,90,electric scooter
2021061027026,2021,061027026,1,90,electric scooter
2021061040580,2021,061040580,2,90,electric scooter
2021061043411,2021,061043411,1,90,electric scooter
2021061043420,2021,061043420,2,90,electric scooter
2021061047836,2021,061047836,2,90,electric scooter
2021061050259,2021,061050259,2,90,electric scooter
2021061069368,2021,061069368,1,90,electric scooter
2021061069549,2021,061069549,1,90,electric scooter
2021061079592,2021,061079592,1,90,electric scooter
2021061087495,2021,061087495,1,90,electric scooter
2021061095801,2021,061095801,2,90,electric scooter
2021061102669,2021,061102669,1,90,electric scooter
2021061109595,2021,061109595,2,90,electric scooter
2021061110354,2021,061110354,2,90,electric scooter
2021061111896,2021,061111896,1,90,electric scooter
2021061112166,2021,061112166,2,90,electric scooter
2021061114858,2021,061114858,2,90,electric scooter
2021061117445,2021,061117445,1,90,electric scooter
2021061120513,2021,061120513,1,90,electric scooter
2021061164718,2021,061164718,2,90,electric scooter
2021070307414,2021,070307414,1,90,electric scooter
2021070341563,2021,070341563,1,90,electric scooter
2021070511538,2021,070511538,1,90,electric scooter
2021070808175,2021,070808175,1,90,electric scooter
2021101019648,2021,101019648,1,90,electric scooter
2021101033007,2021,101033007,1,90,electric scooter
2021101039967,2021,101039967,1,90,electric scooter
2021101041287,2021,101041287,1,90,electric scooter
2021101045405,2021,101045405,1,90,electric scooter
2021101052895,2021,101052895,1,90,electric scooter
2021101055229,2021,101055229,2,90,electric scooter
2021101055737,2021,101055737,1,90,electric scooter
2021101057507,2021,101057507,1,90,electric scooter
2021101064799,2021,101064799,1,90,electric scooter
2021101074405,2021,101074405,1,90,electric scooter
2021101074672,2021,101074672,2,90,electric scooter
2021101091938,2021,101091938,1,90,electric scooter
2021101091938,2021,101091938,2,90,electric scooter
2021101096473,2021,101096473,1,90,electric scooter
2021101111216,2021,101111216,2,90,electric scooter
2021122100704,2021,122100704,1,90,electric scooter
2021122101214,2021,122101214,1,90,electric scooter
2021122101223,2021,122101223,2,90,electric scooter
2021122101362,2021,122101362,2,90,electric scooter
2021131032739,2021,131032739,1,90,electric scooter
2021138130789,2021,138130789,2,90,electric scooter
2021141037390,2021,141037390,2,90,electric scooter
2021141038763,2021,141038763,2,90,electric scooter
2021141056562,2021,141056562,2,90,electric scooter
2021141080880,2021,141080880,2,90,electric scooter
2021141088716,2021,141088716,1,90,electric scooter
2021141091202,2021,141091202,2,90,electric scooter
2021141097768,2021,141097768,2,90,electric scooter
2021141100417,2021,141100417,2,90,electric scooter
2021141104264,2021,141104264,2,90,electric scooter
2021141124874,2021,141124874,2,90,electric scooter
2021161012915,2021,161012915,2,90,electric scooter
2021161032824,2021,161032824,1,90,electric scooter
2021161071857,2021,161071857,1,90,electric scooter
2021161096995,2021,161096995,1,90,electric scooter
2021161100229,2021,161100229,2,90,electric scooter
2021161107855,2021,161107855,1,90,electric scooter
2021161115500,2021,161115500,2,90,electric scooter
2021161116410,2021,161116410,1,90,electric scooter
2021161119251,2021,161119251,1,90,electric scooter
2021161126516,2021,161126516,1,90,electric scooter
2021170H11031,2021,170H11031,2,90,electric scooter
2021170M10161,2021,170M10161,1,90,electric scooter
2021170S11601,2021,170S11601,1,90,electric scooter
2021170S21871,2021,170S21871,1,90,electric scooter
2021201024998,2021,201024998,2,90,electric scooter
2021201031310,2021,201031310,1,90,electric scooter
2021201031437,2021,201031437,1,90,electric scooter
2021201041624,2021,201041624,1,90,electric scooter
2021201042887,2021,201042887,1,90,electric scooter
2021201056695,2021,201056695,2,90,electric scooter
2021201056730,2021,201056730,2,90,electric scooter
2021201057958,2021,201057958,2,90,electric scooter
2021201058408,2021,201058408,1,90,electric scooter
2021201058844,2021,201058844,1,90,electric scooter
2021201060164,2021,201060164,1,90,electric scooter
2021201060352,2021,201060352,1,90,electric scooter
2021201062179,2021,201062179,2,90,electric scooter
2021201065183,2021,201065183,2,90,electric scooter
2021201066574,2021,201066574,2,90,electric scooter
2021201070724,2021,201070724,2,90,electric scooter
2021201071381,2021,201071381,2,90,electric scooter
2021201073563,2021,201073563,1,90,electric scooter
2021201073601,2021,201073601,2,90,electric scooter
2021201073864,2021,201073864,1,90,electric scooter
2021201076490,2021,201076490,2,90,electric scooter
2021201077354,2021,201077354,1,90,electric scooter
2021201077354,2021,201077354,2,90,electric scooter
2021201079095,2021,201079095,1,90,electric scooter
2021201079095,2021,201079095,2,90,electric scooter
2021201079794,2021,201079794,1,90,electric scooter
2021201079906,2021,201079906,1,90,electric scooter
2021201082269,2021,201082269,2,90,electric scooter
2021201084214,2021,201084214,1,90,electric scooter
2021201084734,2021,201084734,1,90,electric scooter
2021201086293,2021,201086293,2,90,electric scooter
2021201086989,2021,201086989,2,90,electric scooter
2021201089539,2021,201089539,2,90,electric scooter
2021201095011,2021,201095011,1,90,electric scooter
2021201098050,2021,201098050,1,90,electric scooter
2021201098356,2021,201098356,2,90,electric scooter
2021201098993,2021,201098993,1,90,electric scooter
2021201099599,2021,201099599,2,90,electric scooter
2021201102545,2021,201102545,2,90,electric scooter
2021201107642,2021,201107642,2,90,electric scooter
2021201108875,2021,201108875,1,90,electric scooter
2021201110011,2021,201110011,1,90,electric scooter
2021201110411,2021,201110411,1,90,electric scooter
2021201110629,2021,201110629,2,90,electric scooter
2021201113759,2021,201113759,1,90,electric scooter
2021201115672,2021,201115672,3,90,electric scooter
2021201115731,2021,201115731,1,90,electric scooter
2021201116909,2021,201116909,1,90,electric scooter
2021201116997,2021,201116997,2,90,electric scooter
2021201117069,2021,201117069,1,90,electric scooter
2021201118829,2021,201118829,2,90,electric scooter
2021201118858,2021,201118858,1,90,electric scooter
2021201119181,2021,201119181,2,90,electric scooter
2021201124678,2021,201124678,2,90,electric scooter
2021201125693,2021,201125693,2,90,electric scooter
2021201127080,2021,201127080,1,90,electric scooter
2021201128628,2021,201128628,1,90,electric scooter
2021201132754,2021,201132754,2,90,electric scooter
2021201135777,2021,201135777,2,90,electric scooter
2021201138745,2021,201138745,1,90,electric scooter
2021201141444,2021,201141444,2,90,electric scooter
2021201141565,2021,201141565,2,90,electric scooter
2021201143966,2021,201143966,1,90,electric scooter
2021201144583,2021,201144583,2,90,electric scooter
2021201144796,2021,201144796,1,90,electric scooter
2021201145427,2021,201145427,2,90,electric scooter
2021201146351,2021,201146351,1,90,electric scooter
2021201146600,2021,201146600,1,90,electric scooter
2021211051139,2021,211051139,1,90,electric scooter
2021211066210,2021,211066210,2,90,electric scooter
2021221020545,2021,221020545,2,90,electric scooter
2021221022079,2021,221022079,1,90,electric scooter
2021231035418,2021,231035418,1,90,electric scooter
2021302100009,2021,302100009,1,90,electric scooter
2021302100117,2021,302100117,2,90,electric scooter
2021302100226,2021,302100226,2,90,electric scooter
2021302100233,2021,302100233,1,90,electric scooter
2021302100412,2021,302100412,1,90,electric scooter
2021302100425,2021,302100425,1,90,electric scooter
2021302100896,2021,302100896,2,90,electric scooter
2021302101032,2021,302101032,2,90,electric scooter
2021302101051,2021,302101051,1,90,electric scooter
2021302101075,2021,302101075,1,90,electric scooter
2021302101172,2021,302101172,2,90,electric scooter
2021302101232,2021,302101232,2,90,electric scooter
2021302101236,2021,302101236,1,90,electric scooter
2021302101556,2021,302101556,1,90,electric scooter
2021302101589,2021,302101589,2,90,electric scooter
2021302101589,2021,302101589,3,90,electric scooter
2021302101650,2021,302101650,1,90,electric scooter
2021302101773,2021,302101773,1,90,electric scooter
2021302101991,2021,302101991,2,90,electric scooter
202131A026321,2021,31A026321,1,90,electric scooter
202131A102321,2021,31A102321,1,90,electric scooter
202131A171821,2021,31A171821,1,90,electric scooter
202131A185321,2021,31A185321,1,90,electric scooter
202131A191821,2021,31A191821,1,90,electric scooter
202131C009221,2021,31C009221,2,90,electric scooter
202131C015921,2021,31C015921,1,90,electric scooter
202131C016721,2021,31C016721,2,90,electric scooter
202131C020421,2021,31C020421,2,90,electric scooter
202131C031021,2021,31C031021,1,90,electric scooter
202131C031021,2021,31C031021,2,90,electric scooter
202131C034621,2021,31C034621,2,90,electric scooter
202131C036521,2021,31C036521,1,90,electric scooter
202131C045821,2021,31C045821,2,90,electric scooter
